uncertainty,type,WZG,FakeLep,FakePho,Top,VV,VVV,VG
lumi_18,lnN,1.015,,1.015,1.015,1.015,1.015,1.015
lumi_fullrun2,lnN,1.02,,1.02,1.02,1.02,1.02,1.02
lumi_1718,lnN,1.002,,1.002,1.002,1.002,1.002,1.002
JES_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
JER_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
FakeLep,lnN,,1.3,,,,,
FakePho,lnN,,,1.3,,,,
HLT_method_sys,lnN,1.01,,,1.01,1.01,1.01,1.01
HLT_sta_18,lnN,1.002,,,1.002,1.002,1.002,1.002
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
l1pref,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
WZG_stat_18,lnN,auto_cal,,,,,,
FakeLep_stat_18,lnN,,auto_cal,,,,,
FakePho_stat_18,lnN,,,auto_cal,,,,
Top_stat_18,lnN,,,,auto_cal,,,
VV_stat_18,lnN,,,,,auto_cal,,
VVV_stat_18,lnN,,,,,,auto_cal,
VG_stat_18,lnN,,,,,,,auto_cal
VV_scale,rateParam,*,VV,1.0,"[0,5]",,,
